chromosome_name,external_gene_name,external_transcript_name,transcript_length,description
1,FAM231B,FAM231B-201,510,family with sequence similarity 231 member B [Source:HGNC Symbol;Acc:HGNC:49506]
17,PHOSPHO1,PHOSPHO1-202,2173,phosphoethanolamine/phosphocholine phosphatase [Source:HGNC Symbol;Acc:HGNC:16815]
17,KRT9,KRT9-201,2290,keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]
17,KRT9,KRT9-202,1493,keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]
17,NUP85,NUP85-222,553,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-201,2121,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-211,2010,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-210,1890,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-223,575,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-212,817,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-220,907,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-203,1926,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-214,528,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,NUP85,NUP85-213,373,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
17,UBE2Z,UBE2Z-201,3122,ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]
17,UBE2Z,UBE2Z-205,573,ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]
17,UBE2Z,UBE2Z-206,769,ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]
17,UBE2Z,UBE2Z-208,322,ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]
17,AMZ2,AMZ2-202,2402,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-209,829,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-210,1339,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-203,1378,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-201,1722,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-217,672,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-208,722,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-215,897,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-211,713,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-205,1492,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-206,2257,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-204,895,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,AMZ2,AMZ2-219,1498,archaelysin family metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:28041]
17,GFAP,GFAP-233,1783,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-214,6538,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-226,2139,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-236,538,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-201,3135,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-207,2542,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-229,989,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-220,1103,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-203,1779,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-225,2099,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-235,1226,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-222,763,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-209,1018,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-215,578,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-212,787,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-211,585,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,GFAP,GFAP-224,370,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
17,FAM187A,FAM187A-201,3397,family with sequence similarity 187 member A [Source:HGNC Symbol;Acc:HGNC:35153]
17,FAM187A,FAM187A-202,1748,family with sequence similarity 187 member A [Source:HGNC Symbol;Acc:HGNC:35153]
17,FASN,FASN-201,8565,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,FASN,FASN-206,8407,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,FASN,FASN-209,100,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,FASN,FASN-207,627,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,FASN,FASN-211,100,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,FASN,FASN-210,100,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]
17,NOL11,NOL11-201,2947,nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]
17,NOL11,NOL11-205,584,nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]
17,NOL11,NOL11-203,815,nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]
17,NOL11,NOL11-208,443,nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]
17,DUS1L,DUS1L-201,2068,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-202,2151,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-205,473,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-203,1250,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-204,1040,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-215,1212,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-211,1084,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-207,937,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,DUS1L,DUS1L-206,648,dihydrouridine synthase 1 like [Source:HGNC Symbol;Acc:HGNC:30086]
17,PITPNC1,PITPNC1-203,6182,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
17,PITPNC1,PITPNC1-204,1124,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
17,PITPNC1,PITPNC1-206,713,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
17,PITPNC1,PITPNC1-207,735,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
17,PITPNC1,PITPNC1-201,6359,"phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]"
17,HELZ,HELZ-201,13810,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
17,HELZ,HELZ-207,6279,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
17,HELZ,HELZ-203,577,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
17,HELZ,HELZ-210,617,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
17,HELZ,HELZ-205,583,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
17,MED13,MED13-201,10465,mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]
17,MED13,MED13-206,1068,mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]
17,HSD17B1,HSD17B1-202,4982,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
17,HSD17B1,HSD17B1-201,1265,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
17,TBC1D3E,TBC1D3E-201,2076,TBC1 domain family member 3E [Source:HGNC Symbol;Acc:HGNC:27071]
17,C17orf51,C17orf51-201,7914,chromosome 17 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27904]
17,C17orf51,C17orf51-202,877,chromosome 17 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27904]
17,ALYREF,ALYREF-202,1088,Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]
17,DHRS7B,DHRS7B-209,767,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
17,DHRS7B,DHRS7B-202,2175,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
17,DHRS7B,DHRS7B-206,1479,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
17,DHRS7B,DHRS7B-210,668,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
17,DHRS7B,DHRS7B-208,729,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
17,PPP1R27,PPP1R27-201,782,protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]
17,PPP1R27,PPP1R27-202,1443,protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]
17,FAAP100,FAAP100-201,3627,Fanconi anemia core complex associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26171]
17,FAAP100,FAAP100-202,2996,Fanconi anemia core complex associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26171]
17,FAAP100,FAAP100-205,1101,Fanconi anemia core complex associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26171]
17,FAAP100,FAAP100-206,1091,Fanconi anemia core complex associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26171]
17,FAAP100,FAAP100-204,924,Fanconi anemia core complex associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26171]
17,AATK,AATK-201,5257,apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]
17,AATK,AATK-203,5081,apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]
17,AATK,AATK-209,475,apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]
17,CHMP6,CHMP6-203,611,charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]
17,CHMP6,CHMP6-201,1664,charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]
17,CHMP6,CHMP6-204,737,charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]
17,CHMP6,CHMP6-202,552,charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]
17,TK1,TK1-201,1628,thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
17,TK1,TK1-203,1681,thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
17,TK1,TK1-205,642,thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
17,TK1,TK1-204,683,thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
17,TK1,TK1-202,631,thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
17,C17orf99,C17orf99-201,984,chromosome 17 open reading frame 99 [Source:HGNC Symbol;Acc:HGNC:34490]
17,C17orf99,C17orf99-206,568,chromosome 17 open reading frame 99 [Source:HGNC Symbol;Acc:HGNC:34490]
17,C17orf99,C17orf99-203,694,chromosome 17 open reading frame 99 [Source:HGNC Symbol;Acc:HGNC:34490]
17,ALOX15,ALOX15-202,2784,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
17,ALOX15,ALOX15-205,2422,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
17,ALOX15,ALOX15-203,581,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
17,ALOX15,ALOX15-206,553,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
17,ALOX15,ALOX15-201,2677,arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]
17,PIPOX,PIPOX-201,2414,pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]
17,PIPOX,PIPOX-203,720,pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]
17,PIPOX,PIPOX-204,760,pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]
17,SEZ6,SEZ6-203,4306,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-208,3804,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-201,4471,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-205,807,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-204,3805,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-206,601,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-210,575,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SEZ6,SEZ6-202,4195,seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]
17,SLFN14,SLFN14-201,2889,schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]
17,TUBG2,TUBG2-201,1761,tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]
17,SCARF1,SCARF1-201,3443,scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
17,SCARF1,SCARF1-205,2871,scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
17,SCARF1,SCARF1-202,2619,scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
17,THRA,THRA-205,581,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-210,574,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-208,907,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-202,2260,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-209,2421,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-201,2538,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-203,4895,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-204,1909,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,THRA,THRA-206,563,"thyroid hormone receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11796]"
17,PFN1,PFN1-201,1291,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]
17,PFN1,PFN1-203,1173,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]
17,PFN1,PFN1-202,539,profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]
17,PMP22,PMP22-203,1817,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-201,1810,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-206,872,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-202,816,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-208,428,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-204,571,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,PMP22,PMP22-209,1822,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
17,TBC1D3L,TBC1D3L-202,2065,TBC1 domain family member 3L [Source:HGNC Symbol;Acc:HGNC:51246]
17,TBC1D3L,TBC1D3L-201,2148,TBC1 domain family member 3L [Source:HGNC Symbol;Acc:HGNC:51246]
17,EPN3,EPN3-201,4071,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-202,804,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-203,603,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-213,580,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-206,558,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-215,560,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-205,810,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,EPN3,EPN3-216,2223,epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
17,CA4,CA4-201,1154,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]
17,CA4,CA4-206,565,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]
17,CA4,CA4-205,677,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]
17,CA4,CA4-204,702,carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]
17,CA10,CA10-204,2276,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,CA10,CA10-202,2935,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,CA10,CA10-203,3189,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,CA10,CA10-201,2914,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,CA10,CA10-209,1474,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,CA10,CA10-208,410,carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]
17,TNFRSF13B,TNFRSF13B-203,600,TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]
17,TNFRSF13B,TNFRSF13B-201,1357,TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]
17,TNFRSF13B,TNFRSF13B-206,859,TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]
17,MAPK7,MAPK7-201,2715,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-203,3059,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-216,615,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-205,850,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-204,3077,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-206,640,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-218,582,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,MAPK7,MAPK7-202,3149,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]
17,TSPAN10,TSPAN10-203,1837,tetraspanin 10 [Source:HGNC Symbol;Acc:HGNC:29942]
17,TSPAN10,TSPAN10-204,1068,tetraspanin 10 [Source:HGNC Symbol;Acc:HGNC:29942]
17,TMUB2,TMUB2-203,1580,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-204,1953,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-209,1969,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-214,1569,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-201,2418,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-212,1918,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-215,2151,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-211,1837,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-213,1505,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-205,1598,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-207,1191,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,TMUB2,TMUB2-202,1921,transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]
17,G6PC3,G6PC3-201,1533,glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]
17,G6PC3,G6PC3-207,805,glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]
17,G6PC3,G6PC3-205,844,glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]
17,CBX4,CBX4-201,2664,chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]
17,CBX4,CBX4-202,718,chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]
17,CBX4,CBX4-204,490,chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]
17,SRSF2,SRSF2-203,2885,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
17,SRSF2,SRSF2-202,1927,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
17,SRSF2,SRSF2-205,1390,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
17,SRSF2,SRSF2-207,561,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
17,SRSF2,SRSF2-201,572,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]
17,ZFP3,ZFP3-201,5206,ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12861]
17,TBC1D3G,TBC1D3G-201,2065,TBC1 domain family member 3G [Source:HGNC Symbol;Acc:HGNC:29860]
17,TBC1D3B,TBC1D3B-202,2081,TBC1 domain family member 3B [Source:HGNC Symbol;Acc:HGNC:27011]
17,TBC1D3B,TBC1D3B-203,569,TBC1 domain family member 3B [Source:HGNC Symbol;Acc:HGNC:27011]
17,EIF1,EIF1-207,797,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
17,EIF1,EIF1-203,2330,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
17,EIF1,EIF1-206,572,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
17,C1QL1,C1QL1-201,1295,complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]
17,PPP1R1B,PPP1R1B-208,1038,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,PPP1R1B,PPP1R1B-201,1845,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,PPP1R1B,PPP1R1B-209,875,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,PPP1R1B,PPP1R1B-205,1466,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,PPP1R1B,PPP1R1B-202,1419,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,PPP1R1B,PPP1R1B-203,1504,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
17,KRT34,KRT34-201,1751,keratin 34 [Source:HGNC Symbol;Acc:HGNC:6452]
17,HID1,HID1-202,3271,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
17,HID1,HID1-201,762,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
17,HID1,HID1-205,820,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
17,HID1,HID1-213,458,HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]
17,RPL23A,RPL23A-207,593,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-205,639,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-201,587,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-202,580,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-203,688,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-206,636,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,RPL23A,RPL23A-204,1562,ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]
17,KRT39,KRT39-201,1696,keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]
17,PROCA1,PROCA1-201,1566,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]
17,PROCA1,PROCA1-209,766,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]
17,PROCA1,PROCA1-202,811,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]
17,PROCA1,PROCA1-204,1137,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]
17,LINC00672,LINC00672-201,3692,long intergenic non-protein coding RNA 672 [Source:HGNC Symbol;Acc:HGNC:44353]
17,MYO18A,MYO18A-202,9992,myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]
